uf,ano,pib,qtd_populacao
RO,2019,47091,1777225
AC,2019,15630,881935
AM,2019,108181,4144597
RR,2019,14292,605761
PA,2019,178377,8602865
AP,2019,17497,845731
TO,2019,39356,1572866
MA,2019,97340,7075181
PI,2019,52781,3273227
CE,2019,163575,9132078
RN,2019,71337,3506853
PB,2019,67986,4018127
PE,2019,197853,9557071
AL,2019,58964,3337357
SE,2019,44689,2298696
BA,2019,293241,14873064
MG,2019,651873,21168791
ES,2019,137346,4018650
RJ,2019,779928,17264943
SP,2019,2348338,45919049
PR,2019,466377,11433957
SC,2019,323264,7164788
RS,2019,482464,11377239
MS,2019,106943,2778986
MT,2019,142122,3484466
GO,2019,208672,7018354
DF,2019,273614,3015268
RO,2020,51599,1796460
AC,2020,16476,894470
AM,2020,116019,4207714
RR,2020,16024,631181
PA,2020,215936,8690745
AP,2020,18469,861773
TO,2020,43650,1590248
MA,2020,106916,7114598
PI,2020,56391,3281480
CE,2020,166915,9187103
RN,2020,71577,3534165
PB,2020,70292,4039277
PE,2020,193307,9616621
AL,2020,63202,3351543
SE,2020,45410,2318822
BA,2020,305321,14930634
MG,2020,682786,21292666
ES,2020,138446,4064052
RJ,2020,753824,17366189
SP,2020,2377639,46289333
PR,2020,487931,11516840
SC,2020,349275,7252502
RS,2020,470942,11422973
MS,2020,122628,2809394
MT,2020,178650,3526220
GO,2020,224126,7113540
DF,2020,265847,3055149
RO,2021,58170,1815278
AC,2021,21374,906876
AM,2021,131531,4269995
RR,2021,18203,652713
PA,2021,262905,8777124
AP,2021,20100,877613
TO,2021,51781,1607363
MA,2021,124981,7153262
PI,2021,64028,3289290
CE,2021,194885,9240580
RN,2021,80181,3560903
PB,2021,77470,4059905
PE,2021,220814,9674793
AL,2021,76266,3365351
SE,2021,51861,2338474
BA,2021,352618,14985284
MG,2021,857593,21411923
ES,2021,186337,4108508
RJ,2021,949301,17463349
SP,2021,2719751,46649132
PR,2021,549973,11597484
SC,2021,428571,7338473
RS,2021,581284,11466630
MS,2021,142204,2839188
MT,2021,233390,3567234
GO,2021,269628,7206589
DF,2021,286944,3094325
RO,2022,66795,1581196
AC,2022,23676,830018
AM,2022,145140,3941613
RR,2022,21095,636707
PA,2022,236142,8120131
AP,2022,23614,733759
TO,2022,58209,1511460
MA,2022,139789,6776699
PI,2022,72835,3271199
CE,2022,213601,8794957
RN,2022,93819,3302729
PB,2022,86094,3974687
PE,2022,245828,9058931
AL,2022,76066,3127683
SE,2022,57372,2210004
BA,2022,402647,14141626
MG,2022,906731,20539989
ES,2022,182549,3833712
RJ,2022,1153512,16055174
SP,2022,3130333,44411238
PR,2022,614611,11444380
SC,2022,466274,7610361
RS,2022,593634,10882965
MS,2022,166407,2757013
MT,2022,255527,3658649
GO,2022,318586,7056495
DF,2022,328790,2817381
