uf,ano,qtd_populacao
RO,2019,1777225
AC,2019,881935
AM,2019,4144597
RR,2019,605761
PA,2019,8602865
AP,2019,845731
TO,2019,1572866
MA,2019,7075181
PI,2019,3273227
CE,2019,9132078
RN,2019,3506853
PB,2019,4018127
PE,2019,9557071
AL,2019,3337357
SE,2019,2298696
BA,2019,14873064
MG,2019,21168791
ES,2019,4018650
RJ,2019,17264943
SP,2019,45919049
PR,2019,11433957
SC,2019,7164788
RS,2019,11377239
MS,2019,2778986
MT,2019,3484466
GO,2019,7018354
DF,2019,3015268
RO,2020,1796460
AC,2020,894470
AM,2020,4207714
RR,2020,631181
PA,2020,8690745
AP,2020,861773
TO,2020,1590248
MA,2020,7114598
PI,2020,3281480
CE,2020,9187103
RN,2020,3534165
PB,2020,4039277
PE,2020,9616621
AL,2020,3351543
SE,2020,2318822
BA,2020,14930634
MG,2020,21292666
ES,2020,4064052
RJ,2020,17366189
SP,2020,46289333
PR,2020,11516840
SC,2020,7252502
RS,2020,11422973
MS,2020,2809394
MT,2020,3526220
GO,2020,7113540
DF,2020,3055149
RO,2021,1815278
AC,2021,906876
AM,2021,4269995
RR,2021,652713
PA,2021,8777124
AP,2021,877613
TO,2021,1607363
MA,2021,7153262
PI,2021,3289290
CE,2021,9240580
RN,2021,3560903
PB,2021,4059905
PE,2021,9674793
AL,2021,3365351
SE,2021,2338474
BA,2021,14985284
MG,2021,21411923
ES,2021,4108508
RJ,2021,17463349
SP,2021,46649132
PR,2021,11597484
SC,2021,7338473
RS,2021,11466630
MS,2021,2839188
MT,2021,3567234
GO,2021,7206589
DF,2021,3094325
AC,2022,830018
AL,2022,3127683
AP,2022,733759
AM,2022,3941613
BA,2022,14141626
CE,2022,8794957
DF,2022,2817381
ES,2022,3833712
GO,2022,7056495
MA,2022,6776699
MT,2022,3658649
MS,2022,2757013
MG,2022,20539989
PA,2022,8120131
PB,2022,3974687
PR,2022,11444380
PE,2022,9058931
PI,2022,3271199
RJ,2022,16055174
RN,2022,3302729
RS,2022,10882965
RO,2022,1581196
RR,2022,636707
SC,2022,7610361
SP,2022,44411238
SE,2022,2210004
TO,2022,1511460
